imdbID,value,Type
tt0263027,Animation,Genre
tt0029583,Animation,Genre
tt0032910,Animation,Genre
tt0032455,Animation,Genre
tt0034091,Animation,Genre
tt0033563,Animation,Genre
tt0034492,Animation,Genre
tt0036497,Documentary,Genre
tt0038718,Animation,Genre
tt0038969,Animation,Genre
tt0039404,Animation,Genre
tt0040580,Animation,Genre
tt0041890,Animation,Genre
tt0041094,Animation,Genre
tt0042332,Animation,Genre
tt0043067,Adventure,Genre
tt0043274,Animation,Genre
tt0045197,Action,Genre
tt0046183,Animation,Genre
tt0046387,Adventure,Genre
tt0046008,Family,Genre
tt0047642,Documentary,Genre
tt0046672,Adventure,Genre
tt0047977,Adventure,Genre
tt0048280,Animation,Genre
tt0047803,Family,Genre
tt0048304,Drama,Genre
tt0049279,Action,Genre
tt0049125,Adventure,Genre
tt0049733,Documentary,Genre
tt0049945,Family,Genre
tt0050567,Adventure,Genre
tt0050837,Adventure,Genre
tt0050798,Adventure,Genre
tt0051936,Drama,Genre
tt0051864,Adventure,Genre
tt0052389,Documentary,Genre
tt0052300,Adventure,Genre
tt0053285,Animation,Genre
tt0053271,Family,Genre
tt0052722,Adventure,Genre
tt0052627,Drama,Genre
tt0052424,Adventure,Genre
tt0053352,Adventure,Genre
tt0054390,Drama,Genre
tt0054195,Comedy,Genre
tt0053977,Documentary,Genre
tt0054372,Adventure,Genre
tt0054357,Adventure,Genre
tt0055254,Animation,Genre
tt0054594,Comedy,Genre
tt0055277,Comedy,Genre
tt0055232,Adventure,Genre
tt0054944,Drama,Genre
tt0054649,Comedy,Genre
tt0056249,Family,Genre
tt0055807,Family,Genre
tt0055793,Adventure,Genre
tt0055740,Comedy,Genre
tt0056173,Adventure,Genre
tt0056095,Adventure,Genre
tt0057518,Comedy,Genre
tt0057312,Adventure,Genre
tt0057473,Adventure,Genre
tt0057542,Comedy,Genre
tt0057180,Adventure,Genre
tt0057546,Animation,Genre
tt0058657,Family,Genre
tt0058355,Family,Genre
tt0058371,Adventure,Genre
tt0058331,Comedy,Genre
tt0058056,Comedy,Genre
tt0059796,Drama,Genre
tt0059462,Family,Genre
tt0059793,Comedy,Genre
tt0061135,Comedy,Genre
tt0060640,Adventure,Genre
tt0060408,Adventure,Genre
tt0060420,Drama,Genre
tt0061989,Comedy,Genre
tt0061333,Action,Genre
tt0061715,Adventure,Genre
tt0062793,Adventure,Genre
tt0061852,Animation,Genre
tt0061749,Comedy,Genre
tt0062737,Comedy,Genre
tt0063389,Comedy,Genre
tt0063341,Family,Genre
tt0063091,Family,Genre
tt0064603,Comedy,Genre
tt0065003,Drama,Genre
tt0064875,Drama,Genre
tt0065566,Comedy,Genre
tt0065943,Western,Genre
tt0065482,Family,Genre
tt0067985,Action,Genre
tt0065421,Animation,Genre
tt0066811,Family,Genre
tt0067712,Comedy,Genre
tt0066728,Comedy,Genre
tt0066817,Animation,Genre
tt0068276,Drama,Genre
tt0069031,Family,Genre
tt0068990,Adventure,Genre
tt0069199,Drama,Genre
tt0069291,Comedy,Genre
tt0070928,Comedy,Genre
tt0069866,Family,Genre
tt0070481,Comedy,Genre
tt0070608,Animation,Genre
tt0070716,Comedy,Genre
tt0071607,Comedy,Genre
tt0071199,Drama,Genre
tt0071288,Comedy,Genre
tt0071671,Adventure,Genre
tt0073760,Comedy,Genre
tt0072951,Adventure,Genre
tt0072653,Comedy,Genre
tt0075016,Family,Genre
tt0072696,Documentary,Genre
tt0075141,Adventure,Genre
tt0074968,Comedy,Genre
tt0075347,Adventure,Genre
tt0074599,Comedy,Genre
tt0075200,Comedy,Genre
tt0076054,Comedy,Genre
tt0076363,Animation,Genre
tt0287003,Adventure,Genre
tt0076618,Animation,Genre
tt0076137,Action,Genre
tt0076538,Animation,Genre
tt0075807,Adventure,Genre
tt0078158,Family,Genre
tt0077305,Comedy,Genre
tt0077698,Action,Genre
tt0078358,Comedy,Genre
tt0079639,Action,Genre
tt0079588,Adventure,Genre
tt0078790,Comedy,Genre
tt0080062,Comedy,Genre
tt0078869,Action,Genre
tt0079481,Action,Genre
tt0081159,Comedy,Genre
tt0081738,Family,Genre
tt0080861,Adventure,Genre
tt0081031,Adventure,Genre
tt0081353,Adventure,Genre
tt0082263,Comedy,Genre
tt0082017,Family,Genre
tt0082288,Action,Genre
tt0082406,Animation,Genre
tt0082199,Action,Genre
tt0082810,Drama,Genre
tt0084827,Action,Genre
tt0084783,Drama,Genre
tt0086476,Comedy,Genre
tt0086336,Fantasy,Genre
tt0086005,Adventure,Genre
tt0086220,Biography,Genre
tt0088161,Comedy,Genre
tt0087091,Drama,Genre
tt0088760,Family,Genre
tt0089908,Adventure,Genre
tt0088814,Animation,Genre
tt0089652,Action,Genre
tt0089385,Adventure,Genre
tt0089731,Family,Genre
